ICD9,CCS
'01341',Tuberculosis
'01342',Tuberculosis
'01343',Tuberculosis
'01344',Tuberculosis
'01345',Tuberculosis
'01346',Tuberculosis
'01350',Tuberculosis
'01351',Tuberculosis
'01352',Tuberculosis
'01353',Tuberculosis
'01354',Tuberculosis
'01355',Tuberculosis
'01356',Tuberculosis
'01360',Tuberculosis
'01361',Tuberculosis
'01362',Tuberculosis
'01363',Tuberculosis
'01364',Tuberculosis
'01365',Tuberculosis
'01366',Tuberculosis
'01380',Tuberculosis
'01381',Tuberculosis
'01382',Tuberculosis
'01383',Tuberculosis
'01384',Tuberculosis
'01385',Tuberculosis
'01386',Tuberculosis
'01390',Tuberculosis
'01391',Tuberculosis
'01392',Tuberculosis
'01393',Tuberculosis
'01394',Tuberculosis
'01395',Tuberculosis
'01396',Tuberculosis
'01400',Tuberculosis
'01401',Tuberculosis
'01402',Tuberculosis
'01403',Tuberculosis
'01404',Tuberculosis
'01405',Tuberculosis
'01406',Tuberculosis
'01480',Tuberculosis
'01481',Tuberculosis
'01482',Tuberculosis
'01483',Tuberculosis
'01484',Tuberculosis
'01485',Tuberculosis
'01486',Tuberculosis
'01500',Tuberculosis
'01501',Tuberculosis
'01502',Tuberculosis
'01503',Tuberculosis
'01504',Tuberculosis
'01505',Tuberculosis
'01506',Tuberculosis
'01510',Tuberculosis
'01511',Tuberculosis
'01512',Tuberculosis
'01513',Tuberculosis
'01514',Tuberculosis
'01515',Tuberculosis
'01516',Tuberculosis
'01520',Tuberculosis
'01521',Tuberculosis
'01522',Tuberculosis
'01523',Tuberculosis
'01524',Tuberculosis
'01525',Tuberculosis
'01526',Tuberculosis
'01550',Tuberculosis
'01551',Tuberculosis
'01552',Tuberculosis
'01553',Tuberculosis
'01554',Tuberculosis
'01555',Tuberculosis
'01556',Tuberculosis
'01560',Tuberculosis
'01561',Tuberculosis
'01562',Tuberculosis
'01563',Tuberculosis
'01564',Tuberculosis
'01565',Tuberculosis
'01566',Tuberculosis
'01570',Tuberculosis
'01571',Tuberculosis
'01572',Tuberculosis
'01573',Tuberculosis
'01574',Tuberculosis
'01575',Tuberculosis
'01576',Tuberculosis
'01580',Tuberculosis
'01581',Tuberculosis
'01582',Tuberculosis
'01583',Tuberculosis
'01584',Tuberculosis
'01585',Tuberculosis
'01586',Tuberculosis
'01590',Tuberculosis
'01591',Tuberculosis
'01592',Tuberculosis
'01593',Tuberculosis
'01594',Tuberculosis
'01595',Tuberculosis
'01596',Tuberculosis
'01600',Tuberculosis
'01601',Tuberculosis
'01602',Tuberculosis
'01603',Tuberculosis
'01604',Tuberculosis
'01605',Tuberculosis
'01606',Tuberculosis
'01610',Tuberculosis
'01611',Tuberculosis
'01612',Tuberculosis
'01613',Tuberculosis
'01614',Tuberculosis
'01615',Tuberculosis
'01616',Tuberculosis
'01620',Tuberculosis
'01621',Tuberculosis
'01622',Tuberculosis
'01623',Tuberculosis
'01624',Tuberculosis
'01625',Tuberculosis
'01626',Tuberculosis
'01630',Tuberculosis
'01631',Tuberculosis
'01632',Tuberculosis
'01633',Tuberculosis
'01634',Tuberculosis
'01635',Tuberculosis
'01636',Tuberculosis
'01640',Tuberculosis
'01641',Tuberculosis
'01642',Tuberculosis
'01643',Tuberculosis
'01644',Tuberculosis
'01645',Tuberculosis
'01646',Tuberculosis
'01650',Tuberculosis
'01651',Tuberculosis
'01652',Tuberculosis
'01653',Tuberculosis
'01654',Tuberculosis
'01655',Tuberculosis
'01656',Tuberculosis
'01660',Tuberculosis
'01661',Tuberculosis
'01662',Tuberculosis
'01663',Tuberculosis
'01664',Tuberculosis
'01665',Tuberculosis
'01666',Tuberculosis
'01670',Tuberculosis
'01671',Tuberculosis
'01672',Tuberculosis
'01673',Tuberculosis
'01674',Tuberculosis
'01675',Tuberculosis
'01676',Tuberculosis
'01690',Tuberculosis
'01691',Tuberculosis
'01692',Tuberculosis
'01693',Tuberculosis
'01694',Tuberculosis
'01695',Tuberculosis
'01696',Tuberculosis
'01700',Tuberculosis
'01701',Tuberculosis
'01702',Tuberculosis
'01703',Tuberculosis
'01704',Tuberculosis
'01705',Tuberculosis
'01706',Tuberculosis
'01710',Tuberculosis
'01711',Tuberculosis
'01712',Tuberculosis
'01713',Tuberculosis
'01714',Tuberculosis
'01715',Tuberculosis
'01716',Tuberculosis
'01720',Tuberculosis
'01721',Tuberculosis
'01722',Tuberculosis
'01723',Tuberculosis
'01724',Tuberculosis
'01725',Tuberculosis
'01726',Tuberculosis
'01730',Tuberculosis
'01731',Tuberculosis
'01732',Tuberculosis
'01733',Tuberculosis
'01734',Tuberculosis
'01735',Tuberculosis
'01736',Tuberculosis
'01740',Tuberculosis
'01741',Tuberculosis
'01742',Tuberculosis
'01743',Tuberculosis
'01744',Tuberculosis
'01745',Tuberculosis
'01746',Tuberculosis
'01750',Tuberculosis
'01751',Tuberculosis
'01752',Tuberculosis
'01753',Tuberculosis
'01754',Tuberculosis
'01755',Tuberculosis
'01756',Tuberculosis
'01760',Tuberculosis
'01761',Tuberculosis
'01762',Tuberculosis
'01763',Tuberculosis
'01764',Tuberculosis
'01765',Tuberculosis
'01766',Tuberculosis
'01770',Tuberculosis
'01771',Tuberculosis
'01772',Tuberculosis
'01773',Tuberculosis
'01774',Tuberculosis
'01775',Tuberculosis
'01776',Tuberculosis
'01780',Tuberculosis
'01781',Tuberculosis
'01782',Tuberculosis
'01783',Tuberculosis
'01784',Tuberculosis
'01785',Tuberculosis
'01786',Tuberculosis
'01790',Tuberculosis
'01791',Tuberculosis
'01792',Tuberculosis
'01793',Tuberculosis
'01794',Tuberculosis
'01795',Tuberculosis
'01796',Tuberculosis
'01800',Tuberculosis
'01801',Tuberculosis
'01802',Tuberculosis
'01803',Tuberculosis
'01804',Tuberculosis
'01805',Tuberculosis
'01806',Tuberculosis
'01880',Tuberculosis
'01881',Tuberculosis
'01882',Tuberculosis
'01883',Tuberculosis
'01884',Tuberculosis
'01885',Tuberculosis
'01886',Tuberculosis
'01890',Tuberculosis
'01891',Tuberculosis
'01892',Tuberculosis
'01893',Tuberculosis
'01894',Tuberculosis
'01895',Tuberculosis
'01896',Tuberculosis
'1370 ',Tuberculosis
'1371 ',Tuberculosis
'1372 ',Tuberculosis
'1373 ',Tuberculosis
'1374 ',Tuberculosis
'V1201',Tuberculosis
'0380 ',Septicemia
'0381 ',Septicemia
'03810',Septicemia
'03811',Septicemia
'03812',Septicemia
'03819',Septicemia
'03842',Septicemia
'03840',Septicemia
'03841',Septicemia
'03843',Septicemia
'03844',Septicemia
'03849',Septicemia
'0031 ',Septicemia
'0202 ',Septicemia
'0223 ',Septicemia
'0362 ',Septicemia
'0382 ',Septicemia
'0383 ',Septicemia
'0545 ',Septicemia
'0388 ',Septicemia
'0389 ',Septicemia
'449  ',Septicemia
'77181',Septicemia
'7907 ',Septicemia
'99591',Septicemia
'99592',Septicemia
'0900 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0901 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0902 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0903 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09040',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09041',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09042',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09049',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0905 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0906 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0907 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0909 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0910 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0911 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0912 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0913 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0914 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09150',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09151',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09152',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09161',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09162',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09169',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0917 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09181',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09182',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09189',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0919 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0920 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0929 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0930 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0931 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09320',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09321',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09322',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09323',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09324',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09381',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09382',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09389',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0939 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0940 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0941 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0942 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0943 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09481',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09482',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09483',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09484',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09485',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09486',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09487',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09489',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0949 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0950 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0951 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0952 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0953 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0954 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0955 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0956 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0957 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0958 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0959 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'096  ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0970 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0971 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0979 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0980 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09810',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09811',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09812',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09813',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09814',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09815',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09816',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09817',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09819',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0982 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09830',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09831',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09832',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09833',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09834',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09835',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09836',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09837',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09839',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09840',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09841',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09842',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09843',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09849',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09850',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09851',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09852',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09853',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09859',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0986 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0987 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09881',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09882',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09883',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09884',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09885',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09886',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09889',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0990 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0991 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0992 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0993 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0994 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09940',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09941',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09949',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09950',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09951',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09952',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09953',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09954',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09955',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09956',Sexually transmitted infections (not HIV or hepatitis) [9.]
'09959',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0998 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0999 ',Sexually transmitted infections (not HIV or hepatitis) [9.]
'79505',Sexually transmitted infections (not HIV or hepatitis) [9.]
'79515',Sexually transmitted infections (not HIV or hepatitis) [9.]
'79519',Sexually transmitted infections (not HIV or hepatitis) [9.]
'79675',Sexually transmitted infections (not HIV or hepatitis) [9.]
'79679',Sexually transmitted infections (not HIV or hepatitis) [9.]
'0200 ',Other bacterial infections [3.]
'0208 ',Other bacterial infections [3.]
'0209 ',Other bacterial infections [3.]
'0218 ',Other bacterial infections [3.]
'0219 ',Other bacterial infections [3.]
'0228 ',Other bacterial infections [3.]
'0229 ',Other bacterial infections [3.]
'0230 ',Other bacterial infections [3.]
'0231 ',Other bacterial infections [3.]
'0232 ',Other bacterial infections [3.]
'0233 ',Other bacterial infections [3.]
'0238 ',Other bacterial infections [3.]
'0239 ',Other bacterial infections [3.]
'024  ',Other bacterial infections [3.]
'025  ',Other bacterial infections [3.]
'0260 ',Other bacterial infections [3.]
'0269 ',Other bacterial infections [3.]
'0270 ',Other bacterial infections [3.]
'0271 ',Other bacterial infections [3.]
'0272 ',Other bacterial infections [3.]
'0278 ',Other bacterial infections [3.]
'0279 ',Other bacterial infections [3.]
'0300 ',Other bacterial infections [3.]
'0301 ',Other bacterial infections [3.]
'0302 ',Other bacterial infections [3.]
'0303 ',Other bacterial infections [3.]
'0308 ',Other bacterial infections [3.]
'0309 ',Other bacterial infections [3.]
'0312 ',Other bacterial infections [3.]
'0318 ',Other bacterial infections [3.]
'0319 ',Other bacterial infections [3.]
'03289',Other bacterial infections [3.]
'0329 ',Other bacterial infections [3.]
'0330 ',Other bacterial infections [3.]
'0331 ',Other bacterial infections [3.]
'0338 ',Other bacterial infections [3.]
'0339 ',Other bacterial infections [3.]
'0341 ',Other bacterial infections [3.]
'0363 ',Other bacterial infections [3.]
'03681',Other bacterial infections [3.]
'03689',Other bacterial infections [3.]
'0369 ',Other bacterial infections [3.]
'037  ',Other bacterial infections [3.]
'0392 ',Other bacterial infections [3.]
'0393 ',Other bacterial infections [3.]
'0394 ',Other bacterial infections [3.]
'0398 ',Other bacterial infections [3.]
'0399 ',Other bacterial infections [3.]
'0400 ',Other bacterial infections [3.]
'0401 ',Other bacterial infections [3.]
'0402 ',Other bacterial infections [3.]
'0403 ',Other bacterial infections [3.]
'04042',Other bacterial infections [3.]
'04081',Other bacterial infections [3.]
'04082',Other bacterial infections [3.]
'04089',Other bacterial infections [3.]
'0410 ',Other bacterial infections [3.]
'04100',Other bacterial infections [3.]
'04101',Other bacterial infections [3.]
'04102',Other bacterial infections [3.]
'04103',Other bacterial infections [3.]
'04104',Other bacterial infections [3.]
'04105',Other bacterial infections [3.]
'04109',Other bacterial infections [3.]
'0411 ',Other bacterial infections [3.]
'04110',Other bacterial infections [3.]
'04111',Other bacterial infections [3.]
'04112',Other bacterial infections [3.]
'04119',Other bacterial infections [3.]
'0412 ',Other bacterial infections [3.]
'0413 ',Other bacterial infections [3.]
'0414 ',Other bacterial infections [3.]
'04141',Other bacterial infections [3.]
'04142',Other bacterial infections [3.]
'04143',Other bacterial infections [3.]
'04149',Other bacterial infections [3.]
'0415 ',Other bacterial infections [3.]
'0416 ',Other bacterial infections [3.]
'0417 ',Other bacterial infections [3.]
'0418 ',Other bacterial infections [3.]
'04181',Other bacterial infections [3.]
'04182',Other bacterial infections [3.]
'04183',Other bacterial infections [3.]
'04184',Other bacterial infections [3.]
'04185',Other bacterial infections [3.]
'04186',Other bacterial infections [3.]
'04189',Other bacterial infections [3.]
'0419 ',Other bacterial infections [3.]
'390  ',Other bacterial infections [3.]
'3929 ',Other bacterial infections [3.]
'7953 ',Other bacterial infections [3.]
'79531',Other bacterial infections [3.]
'79539',Other bacterial infections [3.]
'V090 ',Other bacterial infections [3.]
'V091 ',Other bacterial infections [3.]
'V092 ',Other bacterial infections [3.]
'V093 ',Other bacterial infections [3.]
'V094 ',Other bacterial infections [3.]
'V0950',Other bacterial infections [3.]
'V0951',Other bacterial infections [3.]
'V096 ',Other bacterial infections [3.]
'V0970',Other bacterial infections [3.]
'V0971',Other bacterial infections [3.]
'V0980',Other bacterial infections [3.]
'V0981',Other bacterial infections [3.]
'V0990',Other bacterial infections [3.]
'V0991',Other bacterial infections [3.]
'V1204',Other bacterial infections [3.]
'1120 ',Candidiasis of the mouth (thrush)
'1100 ',Other mycoses
'1101 ',Other mycoses
'1102 ',Other mycoses
'1103 ',Other mycoses
'1104 ',Other mycoses
'1105 ',Other mycoses
'1106 ',Other mycoses
'1108 ',Other mycoses
'1109 ',Other mycoses
'1110 ',Other mycoses
'1111 ',Other mycoses
'1112 ',Other mycoses
'1113 ',Other mycoses
'1118 ',Other mycoses
'1119 ',Other mycoses
'1121 ',Other mycoses
'1122 ',Other mycoses
'1123 ',Other mycoses
'1125 ',Other mycoses
'11282',Other mycoses
'11284',Other mycoses
'11285',Other mycoses
'11289',Other mycoses
'1129 ',Other mycoses
'1141 ',Other mycoses
'1143 ',Other mycoses
'1149 ',Other mycoses
'11500',Other mycoses
'11509',Other mycoses
'11510',Other mycoses
'11519',Other mycoses
'11590',Other mycoses
'11599',Other mycoses
'1160 ',Other mycoses
'1161 ',Other mycoses
'1162 ',Other mycoses
'1170 ',Other mycoses
'1171 ',Other mycoses
'1172 ',Other mycoses
'1173 ',Other mycoses
'1174 ',Other mycoses
'1175 ',Other mycoses
'1176 ',Other mycoses
'1177 ',Other mycoses
'1178 ',Other mycoses
'1179 ',Other mycoses
'118  ',Other mycoses
'042  ',HIV infection [5.]
'0420 ',HIV infection [5.]
'0421 ',HIV infection [5.]
'0422 ',HIV infection [5.]
'0429 ',HIV infection [5.]
'0430 ',HIV infection [5.]
'0431 ',HIV infection [5.]
'0432 ',HIV infection [5.]
'0433 ',HIV infection [5.]
'0439 ',HIV infection [5.]
'0440 ',HIV infection [5.]
'0449 ',HIV infection [5.]
'07953',HIV infection [5.]
'27910',HIV infection [5.]
'27919',HIV infection [5.]
'79571',HIV infection [5.]
'7958 ',HIV infection [5.]
'V08  ',HIV infection [5.]
'0700 ',Hepatitis [6.]
'0701 ',Hepatitis [6.]
'0702 ',Hepatitis [6.]
'07020',Hepatitis [6.]
'07021',Hepatitis [6.]
'07022',Hepatitis [6.]
'07023',Hepatitis [6.]
'0703 ',Hepatitis [6.]
'07030',Hepatitis [6.]
'07031',Hepatitis [6.]
'07032',Hepatitis [6.]
'07033',Hepatitis [6.]
'0704 ',Hepatitis [6.]
'07041',Hepatitis [6.]
'07042',Hepatitis [6.]
'07043',Hepatitis [6.]
'07044',Hepatitis [6.]
'07049',Hepatitis [6.]
'0705 ',Hepatitis [6.]
'07051',Hepatitis [6.]
'07052',Hepatitis [6.]
'07053',Hepatitis [6.]
'07054',Hepatitis [6.]
'07059',Hepatitis [6.]
'0706 ',Hepatitis [6.]
'07070',Hepatitis [6.]
'07071',Hepatitis [6.]
'0709 ',Hepatitis [6.]
'07271',Hepatitis [6.]
'57140',Hepatitis [6.]
'57141',Hepatitis [6.]
'57142',Hepatitis [6.]
'57149',Hepatitis [6.]
'5731 ',Hepatitis [6.]
'5732 ',Hepatitis [6.]
'5733 ',Hepatitis [6.]
'05310',Herpes zoster infection
'05311',Herpes zoster infection
'05312',Herpes zoster infection
'05313',Herpes zoster infection
'05314',Herpes zoster infection
'05319',Herpes zoster infection
'05371',Herpes zoster infection
'05379',Herpes zoster infection
'0538 ',Herpes zoster infection
'0539 ',Herpes zoster infection
'0540 ',Herpes simplex infection
'05410',Herpes simplex infection
'05411',Herpes simplex infection
'05412',Herpes simplex infection
'05413',Herpes simplex infection
'05419',Herpes simplex infection
'0542 ',Herpes simplex infection
'0546 ',Herpes simplex infection
'05471',Herpes simplex infection
'05473',Herpes simplex infection
'05474',Herpes simplex infection
'05479',Herpes simplex infection
'0548 ',Herpes simplex infection
'0549 ',Herpes simplex infection
'05810',Herpes simplex infection
'05811',Herpes simplex infection
'05812',Herpes simplex infection
'05881',Herpes simplex infection
'05882',Herpes simplex infection
'05889',Herpes simplex infection
'0500 ',Other and unspecified viral infection
'0501 ',Other and unspecified viral infection
'0502 ',Other and unspecified viral infection
'0509 ',Other and unspecified viral infection
'0510 ',Other and unspecified viral infection
'05101',Other and unspecified viral infection
'05102',Other and unspecified viral infection
'0511 ',Other and unspecified viral infection
'0512 ',Other and unspecified viral infection
'0519 ',Other and unspecified viral infection
'0522 ',Other and unspecified viral infection
'0527 ',Other and unspecified viral infection
'0528 ',Other and unspecified viral infection
'0529 ',Other and unspecified viral infection
'05579',Other and unspecified viral infection
'0558 ',Other and unspecified viral infection
'0559 ',Other and unspecified viral infection
'05600',Other and unspecified viral infection
'05609',Other and unspecified viral infection
'05679',Other and unspecified viral infection
'0568 ',Other and unspecified viral infection
'0569 ',Other and unspecified viral infection
'0570 ',Other and unspecified viral infection
'0578 ',Other and unspecified viral infection
'0579 ',Other and unspecified viral infection
'05900',Other and unspecified viral infection
'05901',Other and unspecified viral infection
'05909',Other and unspecified viral infection
'05910',Other and unspecified viral infection
'05911',Other and unspecified viral infection
'05912',Other and unspecified viral infection
'05919',Other and unspecified viral infection
'05920',Other and unspecified viral infection
